customer,doc_code,doc_name,section,requirement,audit_question,evidence_compliance,audit_method,requirement_type,process_category,related_4m,priority,source_location,revision,effective_date,evidence_type
Audi,LAH 893 010,Audi LAH 893 010 Q Lastenheft der AUDI AG Anlage 3 Qualitätsnachweis für die Vorserienphase,Clause 1.0 (General Specifications),"(Sollte wegen fehlender VW-Zeichnung auf Basis einer Lieferantenzeichnung gefertigt worden sein, sind entsprechende Anmerkungen zu machen",제품의 치수 정밀도 및 설계 도면의 중요 공차 요건이 정기적인 치수 측정 성적서를 통해 확인 및 관리되고 있는가?,"Audi 승인 최신 도면 원본, 부품 풀레이아웃(Full Layout) 정밀 치수 측정 성적서.",치수 측정 장비 실사 및 치수 성적서 대조 검토 (Inspection Verification),검사,Inspection,Method,Medium,"Clause 1.0 (General Specifications), Page 1",LAH 893 010,N/A,검사기준서
Audi,LAH 893 010,Audi LAH 893 010 The AUDI AG Quality Manual Status 8 2006,Clause 1.0 (General Specifications),Overall responsibility for quality / compliance with quality assurance requirements at sub-,"부품 및 공정의 4M 변경(설비, 작업자, 소재, 공정) 발생 시, 사전 고객사 승인 프로세스를 거쳐 Control Plan 및 SOP에 완벽히 연동 반영하고 있는가?","고객사 최종 4M 승인서, 개정된 최신 Control Plan 및 FMEA 문서, 현장 작업 표준서(SOP).",변경 승인 이력 관리 대장 조회 및 현장 작업자의 최신 변경 개정본 SOP 인지 현장 인터뷰 (Internal Process Audit),변경관리,System,Man,High,"Clause 1.0 (General Specifications), Page 1",LAH 893 010,N/A,변경 승인서
Audi,LAH 893 010,Audi LAH 893 010 Q Lastenheft der AUDI AG Anlage 4 Richtlinie für die Ermittlung von Maschinen und Prozeßfähigkeit 1999,Clause 1.0 (General Specifications),Richtlinie für die Ermittlung von,규격서에 명시된 요구 요건에 대하여 자체 작업표준서(SOP) 및 검사기준서에 올바르게 연동 반영되어 예방 품질 활동을 수행하고 있는가?,"공정 관리계획서(Control Plan), 작업표준서(SOP), 자체 품질 보증 확인 대장.",현장 프로세스 대조 및 관리계획서 반영 정합성 확인 (Process & Document Review),공정관리,System,Method,High,"Clause 1.0 (General Specifications), Page 1",LAH 893 010,N/A,작업표준서
Audi,LAH 893 010,Excel Workbook: Audi_LAH 893 010 - Q-Lastenheft der AUDI AG - Anlage 10 Anforderungen an die Fertigungs- und Prüftechnik_2006.xls (자동 추출),Clause 1.0 (General Specifications),Excel Workbook: Audi_LAH 893 010 - Q-Lastenheft der AUDI AG - Anlage 10 Anforderungen an die Fertigungs- und Prüftechnik_2006,규격서에서 요구하는 부품 시험 및 정밀 측정 방식이 표준화된 절차와 설비 유효 하에 주기적으로 검증 관리되고 있는가?,"공인 시험 성적서 원본, 정기 신뢰성 테스트 시험 대장, 장비 예방 보전 일지.",테스트 장비 실사 및 시험 성적서 대조 검토 (Test Observation & Document Review),시험,Test,Machine,High,"Clause 1.0 (General Specifications), Page 1",LAH 893 010,N/A,성적서
Audi,LAH 893 010,Excel Workbook: Audi_LAH 893 010 - Q-Lastenheft der AUDI AG - Anlage 5 VDA-Deckblatt Erstbemusterung_2004.xls (자동 추출),Clause 1.0 (General Specifications),Excel Workbook: Audi_LAH 893 010 - Q-Lastenheft der AUDI AG - Anlage 5 VDA-Deckblatt Erstbemusterung_2004,규격서에 명시된 요구 요건에 대하여 자체 작업표준서(SOP) 및 검사기준서에 올바르게 연동 반영되어 예방 품질 활동을 수행하고 있는가?,"공정 관리계획서(Control Plan), 작업표준서(SOP), 자체 품질 보증 확인 대장.",현장 프로세스 대조 및 관리계획서 반영 정합성 확인 (Process & Document Review),공정관리,System,Method,High,"Clause 1.0 (General Specifications), Page 1",LAH 893 010,N/A,작업표준서
Audi,LAH 893 010,Audi LAH 893 010 Q Lastenheft der AUDI AG Anlage 7 Qualitätsleistungskosten 0km 2005,Clause 1.0 (General Specifications),Trauner Seite 1 von 2 Stand: 01,규격서에 명시된 요구 요건에 대하여 자체 작업표준서(SOP) 및 검사기준서에 올바르게 연동 반영되어 예방 품질 활동을 수행하고 있는가?,"공정 관리계획서(Control Plan), 작업표준서(SOP), 자체 품질 보증 확인 대장.",현장 프로세스 대조 및 관리계획서 반영 정합성 확인 (Process & Document Review),공정관리,System,Method,High,"Clause 1.0 (General Specifications), Page 1",LAH 893 010,N/A,작업표준서
Audi,LAH 893 010,Audi LAH 893 010 Q Lastenheft der AUDI AG Q Lastenheft der AUDI AG 2013,Clause 1.0 (General Specifications),Das vorliegende Audi Q – Lastenheft enthält,규격서에 명시된 요구 요건에 대하여 자체 작업표준서(SOP) 및 검사기준서에 올바르게 연동 반영되어 예방 품질 활동을 수행하고 있는가?,"공정 관리계획서(Control Plan), 작업표준서(SOP), 자체 품질 보증 확인 대장.",현장 프로세스 대조 및 관리계획서 반영 정합성 확인 (Process & Document Review),공정관리,System,Method,High,"Clause 1.0 (General Specifications), Page 1",LAH 893 010,N/A,작업표준서
Audi,LAH 893 010,Audi LAH 893 010 Q Lastenheft der AUDI AG Anlage 3 Qualitätsnachweis für die Vorserienphase,Clause 2.0 (General Specifications),tter und die aktuellen Technischen Richtlinien ordnungsgem,규격서에 명시된 요구 요건에 대하여 자체 작업표준서(SOP) 및 검사기준서에 올바르게 연동 반영되어 예방 품질 활동을 수행하고 있는가?,"공정 관리계획서(Control Plan), 작업표준서(SOP), 자체 품질 보증 확인 대장.",현장 프로세스 대조 및 관리계획서 반영 정합성 확인 (Process & Document Review),공정관리,System,Method,High,"Clause 2.0 (General Specifications), Page 1",LAH 893 010,N/A,작업표준서
Audi,LAH 893 010,Audi LAH 893 010 The AUDI AG Quality Manual Status 8 2006,Clause 2.0 (General Specifications),Requirements for master jig harmonising,규격서에 명시된 요구 요건에 대하여 자체 작업표준서(SOP) 및 검사기준서에 올바르게 연동 반영되어 예방 품질 활동을 수행하고 있는가?,"공정 관리계획서(Control Plan), 작업표준서(SOP), 자체 품질 보증 확인 대장.",현장 프로세스 대조 및 관리계획서 반영 정합성 확인 (Process & Document Review),공정관리,System,Method,High,"Clause 2.0 (General Specifications), Page 1",LAH 893 010,N/A,작업표준서
Audi,LAH 893 010,Audi LAH 893 010 Q Lastenheft der AUDI AG Anlage 4 Richtlinie für die Ermittlung von Maschinen und Prozeßfähigkeit 1999,Clause 2.0 (General Specifications),"Andere wesentliche Einflußgrößen auf den Fertigungsprozeß sollen ausgeschlossen werden, damit",규격서에 명시된 요구 요건에 대하여 자체 작업표준서(SOP) 및 검사기준서에 올바르게 연동 반영되어 예방 품질 활동을 수행하고 있는가?,"공정 관리계획서(Control Plan), 작업표준서(SOP), 자체 품질 보증 확인 대장.",현장 프로세스 대조 및 관리계획서 반영 정합성 확인 (Process & Document Review),공정관리,System,Method,Medium,"Clause 2.0 (General Specifications), Page 1",LAH 893 010,N/A,작업표준서
